aatr_id,aatr_class,mitre_atlas,mitre_attack_analogue,owasp_llm_or_agentic_risk,seraph_control,nist_alignment
AATR-022,model_self_reflection_breaker,Strong: AML.T0013: Discover AI Model Ontology; AML.T0014: Discover AI Model Family; AML.T0056: Extract LLM System Prompt; AML.T0062: Discover LLM Hallucinations; AML.T0063: Discover AI Model Outputs; AML.T0069: Discover LLM System Information; AML.T0069.000: Discover LLM System Information: Special Character Sets; AML.T0069.001: Discover LLM System Information: System Instruction Keywords; AML.T0069.002: Discover LLM System Information: System Prompt<br>Partial: AML.T0005: Create Proxy AI Model; AML.T0005.000: Create Proxy AI Model: Train Proxy via Gathered AI Artifacts; AML.T0005.001: Create Proxy AI Model: Train Proxy via Replication; AML.T0005.002: Create Proxy AI Model: Use Pre-Trained Model; AML.T0015: Evade AI Model; AML.T0043: Craft Adversarial Data; AML.T0043.000: Craft Adversarial Data: White-Box Optimization; AML.T0043.001: Craft Adversarial Data: Black-Box Optimization; AML.T0043.002: Craft Adversarial Data: Black-Box Transfer; AML.T0043.003: Craft Adversarial Data: Manual Modification; AML.T0043.004: Craft Adversarial Data: Insert Backdoor Trigger,Discovery,System prompt extraction,Mirror maze plus policy gate,Protect / Detect
AATR-031,goal_hijacker,Strong: AML.T0080: AI Agent Context Poisoning; AML.T0080.000: AI Agent Context Poisoning: Memory; AML.T0081: Modify AI Agent Configuration<br>Partial: AML.T0018: Manipulate AI Model; AML.T0018.000: Manipulate AI Model: Poison AI Model; AML.T0018.001: Manipulate AI Model: Modify AI Model Architecture; AML.T0031: Erode AI Model Integrity; AML.T0018.002: Manipulate AI Model: Embed Malware; AML.T0076: Corrupt AI Model,Command and Scripting Interpreter,Prompt injection / goal misalignment,Policy gate plus continuity memory,Govern / Protect
AATR-026,policy_differential_tester,Strong: AML.T0013: Discover AI Model Ontology; AML.T0014: Discover AI Model Family; AML.T0042: Verify Attack; AML.T0056: Extract LLM System Prompt; AML.T0062: Discover LLM Hallucinations; AML.T0063: Discover AI Model Outputs; AML.T0069: Discover LLM System Information; AML.T0069.000: Discover LLM System Information: Special Character Sets; AML.T0069.001: Discover LLM System Information: System Instruction Keywords; AML.T0069.002: Discover LLM System Information: System Prompt; AML.T0084: Discover AI Agent Configuration; AML.T0084.000: Discover AI Agent Configuration: Embedded Knowledge; AML.T0084.001: Discover AI Agent Configuration: Tool Definitions; AML.T0084.002: Discover AI Agent Configuration: Activation Triggers; AML.T0084.003: Discover AI Agent Configuration: Call Chains,Discovery,Insecure output handling / policy bypass,Policy routing plus anomaly scoring,Detect
AATR-007,consistency_auditor,Strong: AML.T0013: Discover AI Model Ontology; AML.T0014: Discover AI Model Family; AML.T0042: Verify Attack; AML.T0056: Extract LLM System Prompt; AML.T0062: Discover LLM Hallucinations; AML.T0063: Discover AI Model Outputs; AML.T0069: Discover LLM System Information; AML.T0069.000: Discover LLM System Information: Special Character Sets; AML.T0069.001: Discover LLM System Information: System Instruction Keywords; AML.T0069.002: Discover LLM System Information: System Prompt,Discovery,System prompt extraction / evasion,Mirror maze plus disinformation shaping,Detect
AATR-008,latency_fingerprinter,Strong: AML.T0097: Virtualization/Sandbox Evasion; AML.T0105: Escape to Host,Discovery,Side-channel leakage,AATL timing with tarpit variance,Detect / Protect
AATR-019,telemetry_blindspot_hunter,AI detection-blindspot probing,Defense Evasion,Logging and monitoring gaps,AATL plus SOAR correlation,Detect
AATR-024,cross_channel_correlator,Strong: AML.T0067: LLM Trusted Output Components Manipulation; AML.T0067.000: LLM Trusted Output Components Manipulation: Citations<br>Partial: AML.T0060: Publish Hallucinated Entities,Discovery,Cross-plugin data leakage,Disinformation inconsistency traps,Detect
AATR-029,state_desynchronizer,Strong: AML.T0080.001: AI Agent Context Poisoning: Thread; AML.T0092: Manipulate User LLM Chat History,Impact,Race conditions and state confusion,Session policy gate,Protect / Detect
AATR-038,audit_evidence_forger,Forensic and audit evidence tampering,Defense Evasion,Logging and monitoring failures,Immutable evidence bundles plus SOAR,Respond / Recover
AATR-013,tool_schema_abuser,Strong: AML.T0081: Modify AI Agent Configuration; AML.T0084: Discover AI Agent Configuration; AML.T0084.000: Discover AI Agent Configuration: Embedded Knowledge; AML.T0084.001: Discover AI Agent Configuration: Tool Definitions; AML.T0084.002: Discover AI Agent Configuration: Activation Triggers; AML.T0084.003: Discover AI Agent Configuration: Call Chains,Execution,Insecure output handling / tool misuse,Tool schema validation,Protect
AATR-032,tool_result_forger,Strong: AML.T0067: LLM Trusted Output Components Manipulation; AML.T0067.000: LLM Trusted Output Components Manipulation: Citations; AML.T0099: AI Agent Tool Data Poisoning; AML.T0110: AI Agent Tool Poisoning<br>Partial: AML.T0060: Publish Hallucinated Entities,Execution,Insecure output handling,Tool result validation,Protect
AATR-028,protocol_smuggler,Partial: AML.T0008: Acquire Infrastructure; AML.T0008.000: Acquire Infrastructure: AI Development Workspaces; AML.T0008.001: Acquire Infrastructure: Consumer Hardware; AML.T0008.002: Acquire Infrastructure: Domains; AML.T0068: LLM Prompt Obfuscation; AML.T0072: Reverse Shell; AML.T0077: LLM Response Rendering; AML.T0008.004: Acquire Infrastructure: Serverless; AML.T0008.005: Acquire Infrastructure: AI Service Proxies,Defense Evasion,Insecure plugin design / request smuggling,Protocol normalization,Protect
AATR-037,malicious_skill_installer,Strong: AML.T0010: AI Supply Chain Compromise; AML.T0010.000: AI Supply Chain Compromise: Hardware; AML.T0010.001: AI Supply Chain Compromise: AI Software; AML.T0010.002: AI Supply Chain Compromise: Data; AML.T0010.003: AI Supply Chain Compromise: Model; AML.T0011: User Execution; AML.T0011.000: User Execution: Unsafe AI Artifacts; AML.T0052: Phishing; AML.T0052.000: Phishing: Spearphishing via Social Engineering LLM; AML.T0011.001: User Execution: Malicious Package; AML.T0010.004: AI Supply Chain Compromise: Container Registry; AML.T0078: Drive-by Compromise; AML.T0099: AI Agent Tool Data Poisoning; AML.T0100: AI Agent Clickbait; AML.T0104: Publish Poisoned AI Agent Tool; AML.T0011.002: User Execution: Poisoned AI Agent Tool; AML.T0011.003: User Execution: Malicious Link; AML.T0109: AI Supply Chain Rug Pull; AML.T0110: AI Agent Tool Poisoning; AML.T0010.005: AI Supply Chain Compromise: AI Agent Tool; AML.T0111: AI Supply Chain Reputation Inflation; AML.T0052.001: Phishing: Deepfake-Assisted Phishing<br>Partial: AML.T0103: Deploy AI Agent,Persistence,Supply chain vulnerabilities,Token broker plus policy gate,Protect
AATR-020,sandbox_escape_researcher,Strong: AML.T0097: Virtualization/Sandbox Evasion; AML.T0105: Escape to Host<br>Partial: AML.T0072: Reverse Shell,Escape to Host,Excessive agency / sandbox escape,Trap-sink plus tarpit friction,Protect / Detect
AATR-030,multimodal_payload_carrier,Strong: AML.T0088: Generate Deepfakes<br>Partial: AML.T0068: LLM Prompt Obfuscation; AML.T0077: LLM Response Rendering,Initial Access,Multimodal prompt injection,Content validation plus tool gateway,Protect
AATR-017,data_exfil_planner,Strong: AML.T0024: Exfiltration via AI Inference API; AML.T0024.000: Exfiltration via AI Inference API: Infer Training Data Membership; AML.T0024.001: Exfiltration via AI Inference API: Invert AI Model; AML.T0024.002: Exfiltration via AI Inference API: Extract AI Model; AML.T0025: Exfiltration via Cyber Means; AML.T0057: LLM Data Leakage; AML.T0086: Exfiltration via AI Agent Tool Invocation<br>Partial: AML.T0036: Data from Information Repositories; AML.T0037: Data from Local System; AML.T0085: Data from AI Services; AML.T0085.001: Data from AI Services: AI Agent Tools,Exfiltration,Sensitive information disclosure,Honey assets plus trap-sink,Detect / Respond
AATR-018,supply_chain_recon,Strong: AML.T0000: Search Open Technical Databases; AML.T0000.000: Search Open Technical Databases: Journals and Conference Proceedings; AML.T0000.001: Search Open Technical Databases: Pre-Print Repositories; AML.T0000.002: Search Open Technical Databases: Technical Blogs; AML.T0001: Search Open AI Vulnerability Analysis; AML.T0003: Search Victim-Owned Websites; AML.T0004: Search Application Repositories; AML.T0006: Active Scanning; AML.T0002: Acquire Public AI Artifacts; AML.T0002.000: Acquire Public AI Artifacts: Datasets; AML.T0002.001: Acquire Public AI Artifacts: Models; AML.T0010: AI Supply Chain Compromise; AML.T0010.000: AI Supply Chain Compromise: Hardware; AML.T0010.001: AI Supply Chain Compromise: AI Software; AML.T0010.002: AI Supply Chain Compromise: Data; AML.T0010.003: AI Supply Chain Compromise: Model; AML.T0007: Discover AI Artifacts; AML.T0035: AI Artifact Collection; AML.T0010.004: AI Supply Chain Compromise: Container Registry; AML.T0095: Search Open Websites/Domains; AML.T0104: Publish Poisoned AI Agent Tool; AML.T0011.002: User Execution: Poisoned AI Agent Tool; AML.T0109: AI Supply Chain Rug Pull; AML.T0010.005: AI Supply Chain Compromise: AI Agent Tool; AML.T0111: AI Supply Chain Reputation Inflation; AML.T0002.002: Acquire Public AI Artifacts: AI Agent Configuration; AML.T0095.000: Search Open Websites/Domains: Code Repositories<br>Partial: AML.T0016: Obtain Capabilities; AML.T0016.000: Obtain Capabilities: Adversarial AI Attack Implementations; AML.T0016.001: Obtain Capabilities: Software Tools; AML.T0017: Develop Capabilities; AML.T0017.000: Develop Capabilities: Adversarial AI Attacks; AML.T0008: Acquire Infrastructure; AML.T0008.000: Acquire Infrastructure: AI Development Workspaces; AML.T0008.001: Acquire Infrastructure: Consumer Hardware; AML.T0019: Publish Poisoned Datasets; AML.T0040: AI Model Inference API Access; AML.T0047: AI-Enabled Product or Service; AML.T0044: Full AI Model Access; AML.T0020: Poison Training Data; AML.T0036: Data from Information Repositories; AML.T0037: Data from Local System; AML.T0058: Publish Poisoned Models; AML.T0059: Erode Dataset Integrity; AML.T0008.002: Acquire Infrastructure: Domains; AML.T0016.002: Obtain Capabilities: Generative AI; AML.T0008.004: Acquire Infrastructure: Serverless; AML.T0079: Stage Capabilities; AML.T0085: Data from AI Services; AML.T0085.001: Data from AI Services: AI Agent Tools; AML.T0008.005: Acquire Infrastructure: AI Service Proxies,Reconnaissance,Supply chain vulnerabilities,Policy routing plus deception topology,Identify / Protect
AATR-021,multi_turn_social_engineer,Strong: AML.T0011: User Execution; AML.T0011.000: User Execution: Unsafe AI Artifacts; AML.T0052: Phishing; AML.T0052.000: Phishing: Spearphishing via Social Engineering LLM; AML.T0011.001: User Execution: Malicious Package; AML.T0078: Drive-by Compromise; AML.T0088: Generate Deepfakes; AML.T0100: AI Agent Clickbait; AML.T0011.003: User Execution: Malicious Link; AML.T0052.001: Phishing: Deepfake-Assisted Phishing,Phishing,Social engineering amplification,Human approval controls plus forensic logging,Govern / Protect
AATR-036,human_trust_exploiter,Strong: AML.T0011: User Execution; AML.T0011.000: User Execution: Unsafe AI Artifacts; AML.T0052: Phishing; AML.T0052.000: Phishing: Spearphishing via Social Engineering LLM; AML.T0011.001: User Execution: Malicious Package; AML.T0073: Impersonation; AML.T0074: Masquerading; AML.T0078: Drive-by Compromise; AML.T0087: Gather Victim Identity Information; AML.T0100: AI Agent Clickbait; AML.T0011.003: User Execution: Malicious Link; AML.T0052.001: Phishing: Deepfake-Assisted Phishing<br>Partial: AML.T0048: External Harms; AML.T0048.000: External Harms: Financial Harm; AML.T0048.001: External Harms: Reputational Harm; AML.T0048.002: External Harms: Societal Harm; AML.T0048.003: External Harms: User Harm; AML.T0048.004: External Harms: AI Intellectual Property Theft,Phishing,Social engineering amplification,Approval gating plus forensic evidence,Govern / Protect
AATR-035,cascading_workflow_amplifier,Partial: AML.T0048: External Harms; AML.T0048.000: External Harms: Financial Harm; AML.T0048.001: External Harms: Reputational Harm; AML.T0048.002: External Harms: Societal Harm; AML.T0048.003: External Harms: User Harm; AML.T0048.004: External Harms: AI Intellectual Property Theft; AML.T0101: Data Destruction via AI Agent Tool Invocation; AML.T0102: Generate Malicious Commands,Impact,Excessive agency,Tarpit friction plus SOAR,Protect / Respond
AATR-033,inter_agent_spoofer,Strong: AML.T0073: Impersonation; AML.T0074: Masquerading,Lateral Movement,Agent communication spoofing,Token broker plus policy gate,Protect / Detect
AATR-025,cost_amplification_agent,Strong: AML.T0029: Denial of AI Service; AML.T0046: Spamming AI System with Chaff Data; AML.T0034: Cost Harvesting; AML.T0034.000: Cost Harvesting: Excessive Queries; AML.T0034.001: Cost Harvesting: Resource-Intensive Queries; AML.T0034.002: Cost Harvesting: Agentic Resource Consumption,Impact,Model denial of service,Tarpit friction plus logic budget,Protect / Respond
AATR-010,canary_exfiltrator,Strong: AML.T0024: Exfiltration via AI Inference API; AML.T0024.000: Exfiltration via AI Inference API: Infer Training Data Membership; AML.T0024.001: Exfiltration via AI Inference API: Invert AI Model; AML.T0024.002: Exfiltration via AI Inference API: Extract AI Model; AML.T0025: Exfiltration via Cyber Means; AML.T0057: LLM Data Leakage; AML.T0086: Exfiltration via AI Agent Tool Invocation,Exfiltration,Sensitive information disclosure,Honey tokens plus replay detection,Detect / Respond
